src_ip,dst_ip,server_port,prot,p_count,b_count,max_size,min_size,abyte_count,sbyte_count,Unnamed: 10
64.233.161.127,192.168.127.42,19302,17,1.439055979277594e-05,3.2641395741605377e-07,0.0136986301369863,0.0007610350076103,0.0022061572213948,0.0,GoogleHangoutDuo
192.168.122.88,157.55.134.136,443,6,0.0,0.0,0.0,0.0,0.0,0.0,Skype
192.168.128.46,204.79.197.200,443,6,1.439055979277594e-05,3.660499379594317e-07,0.0,0.0017503805175038,0.0028312351011577,0.0021800638209476,MS_OneDrive
192.168.127.77,64.233.170.188,5228,6,5.756223917110376e-05,3.3247593091092334e-06,0.0082191780821917,0.0201293759512937,0.0135556104837962,0.020898625532633,GoogleServices
192.168.127.12,172.217.28.106,443,6,2.878111958555188e-05,1.9071901226166568e-06,0.0,0.0221461187214611,0.014516514516778,0.0257722030250692,GoogleServices
64.233.170.109,192.168.121.92,993,6,4.3171679378327816e-05,1.4665312801049845e-06,0.0,0.0043759512937595,0.0061299654221466,0.0052435922068606,GMail
192.168.127.42,74.125.143.127,19302,17,8.634335875665563e-05,1.361612508078396e-06,0.0054794520547945,0.0003044140030441,0.0008824628885579,0.0,GoogleHangoutDuo
216.58.222.238,192.168.128.104,443,6,5.0366959274715785e-05,1.6297382588130115e-05,0.0,0.0888888888888888,0.0925207184722464,0.0994116176658559,GoogleDrive
192.168.121.93,172.217.15.195,443,6,0.0001151244783422,4.028880845821007e-06,0.0,0.0224885844748858,0.0070597031084635,0.0165941387493038,GoogleServices
192.168.122.52,74.125.143.127,19302,17,2.1585839689163908e-05,3.543922966231441e-07,0.0054794520547945,0.0003044140030441,0.0008824628885579,0.0,GoogleHangoutDuo
40.77.16.143,192.168.122.135,443,6,5.0366959274715785e-05,1.4572051670359543e-05,0.0,0.1639269406392694,0.0823172413232952,0.1620214019544893,Skype
35.186.224.53,192.168.122.85,443,6,7.914807886026766e-05,1.88014439471647e-05,0.0,0.055517503805175,0.0700822610626327,0.0742489703593976,Spotify
162.125.33.7,192.168.122.80,443,6,1.439055979277594e-05,2.867779768726758e-07,0.0,0.001179604261796,0.0015810793416319,0.0014526054144124,Dropbox
172.217.2.143,192.168.127.71,443,6,0.0047704705713052,0.000104879136046,0.0,0.0874048706240487,0.0030671898174938,0.0214809023408209,GoogleDrive
192.168.128.134,151.101.4.133,443,6,7.914807886026766e-05,2.606648602793915e-06,0.0,0.0100076103500761,0.0062323941504404,0.0103986742608625,Github
74.125.143.127,192.168.122.52,19302,17,7.914807886026766e-05,1.5854392217351185e-06,0.0136986301369863,0.0007610350076103,0.0022061572213948,0.0,GoogleHangoutDuo
172.217.2.74,192.168.128.134,443,6,0.0002806159159591,7.472548096560374e-06,0.0,0.0192541856925418,0.0045364107864931,0.0096142954007149,GoogleServices
192.168.122.7,208.80.154.224,443,6,0.000575622391711,1.4938101608318976e-05,0.0,0.0197488584474885,0.0043673742028086,0.0118147662991128,Wikipedia
172.217.2.86,192.168.122.104,443,6,0.0001151244783422,5.474428371520673e-06,0.0,0.0214611872146118,0.0110826956847608,0.0180770373617417,YouTube
192.168.128.82,40.83.21.197,443,6,5.756223917110376e-05,4.870562550300974e-06,0.0,0.0415525114155251,0.0216816229196108,0.0407075148853727,Skype
192.168.128.3,31.13.67.15,443,6,7.195279896387969e-06,1.4921780910448173e-07,0.0082191780821917,0.0004566210045662,0.0013236943328369,0.0,Facebook
192.168.121.105,162.125.18.133,443,6,0.0,2.7978339207090334e-08,0.0082191780821917,0.0004566210045662,0.0013236943328369,0.0,Dropbox
192.168.127.42,64.233.161.127,19302,17,7.914807886026766e-05,1.2496991512500349e-06,0.0054794520547945,0.0003044140030441,0.0008824628885579,0.0,GoogleHangoutDuo
172.217.204.188,192.168.128.32,5228,6,0.0001582961577205,4.546480121152178e-06,0.0082191780821917,0.0060502283105022,0.0051317135366748,0.0045964401529003,GoogleServices
192.168.121.82,172.217.0.170,443,6,0.0001295150381349,4.299338124822879e-06,0.0,0.0196727549467275,0.0065255808341583,0.0148673417659454,GoogleServices
64.233.161.127,192.168.127.42,19302,17,7.19527989638797e-05,1.4455475256996669e-06,0.0136986301369863,0.0007610350076103,0.0022061572213948,0.0,GoogleHangoutDuo
192.168.121.27,64.233.161.127,19302,17,2.1585839689163908e-05,3.543922966231441e-07,0.0054794520547945,0.0003044140030441,0.0008824628885579,0.0,GoogleHangoutDuo
204.79.197.222,192.168.127.74,443,6,0.0001007339185494,2.215651312374828e-05,0.0,0.1834474885844749,0.0657655467697804,0.1443199085925324,MS_OneDrive
173.194.136.203,192.168.125.28,443,6,0.0004245215138868,0.0001960465543523,0.0,0.1062404870624048,0.1502484990619756,0.0731750285232169,YouTube
192.168.127.12,172.217.3.66,443,6,0.0009929486257015,3.617366106650053e-05,0.0,0.0317351598173516,0.0079318494322533,0.0176711157525653,GoogleServices
192.168.128.32,66.102.1.127,19302,17,7.195279896387969e-06,1.305655829664215e-07,0.0054794520547945,0.0003044140030441,0.0008824628885579,0.0,GoogleHangoutDuo
192.168.122.135,13.107.3.128,443,6,6.475751906749172e-05,3.2198405370826446e-06,0.0,0.028386605783866,0.0112624326152206,0.0251932625515155,Skype
192.168.122.154,13.107.3.128,443,6,4.3171679378327816e-05,2.4877406611637814e-06,0.0,0.0239345509893455,0.0130320858673692,0.0248121388653925,Skype
172.217.8.69,192.168.128.83,443,6,9.35386386530436e-05,1.006987058628526e-05,0.0082191780821917,0.0896499238964992,0.0299328260192954,0.0691547988165085,GMail
162.125.34.129,192.168.122.46,443,6,3.597639948193985e-05,6.341756886940474e-07,0.0082191780821917,0.0004566210045662,0.0013236943328369,0.0,Dropbox
172.217.2.74,192.168.121.18,443,6,7.914807886026766e-05,2.069231337191055e-05,0.0,0.15220700152207,0.07753723401395,0.1294437876575348,GoogleServices
31.13.67.63,192.168.128.41,443,6,0.0001511008778241,6.255490341051945e-06,0.0082191780821917,0.0114916286149162,0.0092407903644418,0.0117428803095224,Instagram
31.13.67.11,192.168.128.3,443,6,3.597639948193985e-05,6.411702734958199e-06,0.0082191780821917,0.0944444444444444,0.0468808409546405,0.1047016214043193,Facebook
190.90.252.33,192.168.128.23,443,6,0.0036480069074687,0.0042555310402093,0.0082191780821917,0.9237442922374428,0.3919253504231202,0.3826481475421895,WhatsApp
192.168.122.64,13.64.117.133,443,6,5.0366959274715785e-05,2.765192524967427e-06,0.0,0.0210806697108066,0.0124923652661483,0.0207587793051186,Skype
74.125.140.127,192.168.121.27,19302,17,8.634335875665563e-05,1.72533091777057e-06,0.0136986301369863,0.0007610350076103,0.0022061572213948,0.0,GoogleHangoutDuo
192.168.128.95,13.78.179.199,443,6,0.0,0.0,0.0,0.0,0.0,0.0,Skype
31.13.67.63,192.168.122.121,443,6,3.597639948193985e-05,6.691486127029102e-07,0.0082191780821917,0.0007610350076103,0.0015994639855112,0.0004037381406586,Instagram
