src_ip,dst_ip,server_port,prot,p_count,b_count,max_size,min_size,abyte_count,sbyte_count,Unnamed: 10
17.248.137.197,192.168.128.81,443,6,0.000107929,2.66E-05,0.008219178,0.055098935,0.074478489,0.076323963,AppleiCloud
192.168.128.26,17.248.137.232,443,6,0.000172687,8.16E-06,0,0.038356164,0.011207279,0.025208578,AppleiCloud
17.248.137.232,192.168.128.26,443,6,0.000151101,2.13E-05,0.008219178,0.061073059,0.041510854,0.069262286,AppleiCloud
192.168.121.75,17.248.137.200,443,6,0.00012232,7.82E-06,0,0.038280061,0.016380717,0.032413558,AppleiCloud
17.248.137.200,192.168.121.75,443,6,0.000107929,4.62E-06,0.008219178,0.036339422,0.009514053,0.025876495,AppleiCloud
192.168.122.13,17.248.184.11,443,6,0.00013671,7.96E-06,0,0.03869863,0.014632338,0.030107372,AppleiCloud
17.248.184.11,192.168.122.13,443,6,0.000151101,2.14E-05,0.008219178,0.114802131,0.041801665,0.099505839,AppleiCloud
192.168.125.40,17.248.137.112,443,6,7.91E-05,6.68E-06,0.008219178,0.047526636,0.022272996,0.038398272,AppleiCloud
17.248.137.112,192.168.125.40,443,6,7.20E-05,3.41E-06,0.008219178,0.028652968,0.010649723,0.024345005,AppleiCloud
192.168.121.52,17.248.137.72,443,6,0.000223054,1.96E-05,0.008219178,0.04630898,0.024664148,0.049746009,AppleiCloud
17.248.137.72,192.168.121.52,443,6,0.000208663,8.36E-05,0.008219178,0.109741248,0.127512211,0.123507522,AppleiCloud
192.168.127.8,17.248.184.25,443,6,0.000172687,1.23E-05,0.008219178,0.055555556,0.018990601,0.041737417,AppleiCloud
17.248.184.25,192.168.127.8,443,6,0.000165491,2.29E-05,0.008219178,0.055098935,0.040974774,0.067966615,AppleiCloud
192.168.121.31,17.248.184.45,443,6,0.00025903,1.65E-05,0,0.038888889,0.016817477,0.028946141,AppleiCloud
17.248.184.45,192.168.121.31,443,6,0.00024464,2.96E-05,0.008219178,0.061073059,0.035701927,0.061611181,AppleiCloud
192.168.125.70,17.248.184.84,443,6,0.000223054,1.10E-05,0,0.037899543,0.012040792,0.024104426,AppleiCloud
17.248.184.84,192.168.125.70,443,6,0.000194273,2.58E-05,0.008219178,0.061073059,0.039277478,0.062881479,AppleiCloud
192.168.121.104,17.248.184.17,443,6,0.000115124,9.19E-06,0.008219178,0.047564688,0.02142568,0.045375123,AppleiCloud
17.248.184.17,192.168.121.104,443,6,0.000100734,2.67E-05,0.008219178,0.109741248,0.080076153,0.097412802,AppleiCloud
192.168.125.40,17.248.184.107,443,6,8.63E-05,6.42E-06,0.008219178,0.047526636,0.019303876,0.03793938,AppleiCloud
17.248.184.107,192.168.125.40,443,6,0.000107929,1.67E-05,0.008219178,0.055098935,0.045191752,0.0678699,AppleiCloud
192.168.128.95,17.248.137.73,443,6,0.000187077,1.78E-05,0.008219178,0.04912481,0.026980486,0.049387693,AppleiCloud
17.248.137.73,192.168.128.95,443,6,0.000158296,3.57E-05,0.008219178,0.072412481,0.069292521,0.078699059,AppleiCloud
192.168.121.31,17.248.184.45,443,6,0.000129515,7.64E-06,0,0.037024353,0.014845116,0.029951496,AppleiCloud
17.248.184.45,192.168.121.31,443,6,0.000100734,3.56E-06,0.008219178,0.019939117,0.00711118,0.014627375,AppleiCloud
192.168.121.32,17.248.184.56,443,6,0.000568427,3.39E-05,0.008219178,0.055555556,0.015698187,0.042680232,AppleiCloud
17.248.184.56,192.168.121.32,443,6,0.000561232,0.000269562,0,0.165753425,0.157078394,0.145052024,AppleiCloud
192.168.122.104,17.248.137.240,443,6,0.000143906,7.00E-06,0.008219178,0.03869863,0.011561314,0.025854029,AppleiCloud
17.248.137.240,192.168.122.104,443,6,0.000165491,2.47E-05,0.008219178,0.061073059,0.044513818,0.07125861,AppleiCloud
192.168.128.25,17.248.137.72,443,6,0.00012232,8.39E-06,0,0.043493151,0.01788213,0.035883585,AppleiCloud
17.248.137.72,192.168.128.25,443,6,0.000100734,3.16E-06,0.008219178,0.020928463,0.00585367,0.015244808,AppleiCloud
192.168.127.45,17.248.137.202,443,6,0.000129515,8.32E-06,0.008219178,0.055555556,0.016546179,0.039420113,AppleiCloud
17.248.137.202,192.168.127.45,443,6,0.000107929,2.46E-05,0.008219178,0.109741248,0.068666644,0.096165617,AppleiCloud
192.168.127.11,17.248.184.81,443,6,0.000129515,7.41E-06,0,0.041019787,0.014264548,0.030285318,AppleiCloud
17.248.184.81,192.168.127.11,443,6,0.000115124,5.69E-06,0.008219178,0.051902588,0.011686145,0.036032724,AppleiCloud
192.168.128.46,17.248.137.203,443,6,0.000215858,1.73E-05,0,0.055555556,0.022093597,0.046414126,AppleiCloud
17.248.137.203,192.168.128.46,443,6,0.000194273,2.05E-05,0.008219178,0.055098935,0.030417393,0.061142886,AppleiCloud
192.168.125.40,17.248.184.107,443,6,9.35E-05,5.51E-06,0.008219178,0.047526636,0.014513363,0.035773943,AppleiCloud
17.248.184.107,192.168.125.40,443,6,5.04E-05,1.68E-05,0.008219178,0.101331811,0.095430088,0.104816792,AppleiCloud
192.168.127.31,17.248.184.51,443,6,0.000172687,1.06E-05,0,0.042732116,0.01586227,0.034718299,AppleiCloud
17.248.184.51,192.168.127.31,443,6,0.000158296,2.28E-05,0.008219178,0.061073059,0.04270353,0.070705003,AppleiCloud
192.168.127.11,17.248.137.100,443,6,0.001331127,0.000558877,0.008219178,0.055555556,0.137768588,0.05387217,AppleiCloud
17.248.137.100,192.168.127.11,443,6,0.0007627,5.55E-05,0.008219178,0.109741248,0.020182215,0.053760966,AppleiCloud
192.168.121.75,17.248.137.171,443,6,0.000295006,1.72E-05,0,0.039003044,0.015085913,0.027717018,AppleiCloud
17.248.137.171,192.168.121.75,443,6,0.000266225,3.02E-05,0.008219178,0.061073059,0.033243306,0.059759823,AppleiCloud
192.168.121.75,17.248.137.242,443,6,0.000129515,7.45E-06,0.008219178,0.036986301,0.01436905,0.030167774,AppleiCloud
17.248.137.242,192.168.121.75,443,6,0.000115124,2.67E-05,0.008219178,0.055098935,0.070136334,0.073951969,AppleiCloud
192.168.128.101,17.248.184.11,443,6,0.00013671,5.76E-06,0,0.020129376,0.009425807,0.016905453,AppleiCloud
17.248.184.11,192.168.128.101,443,6,0.000129515,2.16E-05,0.008219178,0.082648402,0.049568869,0.079824501,AppleiCloud
192.168.121.6,17.248.137.7,443,6,0.000143906,6.98E-06,0,0.037861492,0.011529798,0.025705388,AppleiCloud
17.248.137.7,192.168.121.6,443,6,0.000143906,2.24E-05,0.008219178,0.061073059,0.046276774,0.069613779,AppleiCloud
192.168.125.40,17.248.137.112,443,6,8.63E-05,5.89E-06,0.008219178,0.046917808,0.017352275,0.0375019,AppleiCloud
17.248.137.112,192.168.125.40,443,6,8.63E-05,1.91E-05,0.008219178,0.101331811,0.065522869,0.093392946,AppleiCloud
192.168.128.95,17.248.137.145,443,6,0.000115124,6.76E-06,0.008219178,0.04870624,0.014657968,0.034831454,AppleiCloud
17.248.137.145,192.168.128.95,443,6,0.000100734,2.64E-05,0.008219178,0.109741248,0.079083383,0.096907549,AppleiCloud
192.168.128.46,17.248.184.8,443,6,0.00012232,8.94E-06,0,0.038584475,0.019328389,0.032128831,AppleiCloud
17.248.184.8,192.168.128.46,443,6,0.000129515,4.07E-06,0.008219178,0.02108067,0.00596243,0.013971486,AppleiCloud
192.168.128.199,17.248.184.105,443,6,0.000151101,7.99E-06,0,0.024467275,0.01298123,0.022765465,AppleiCloud
17.248.184.105,192.168.128.199,443,6,0.00013671,4.23E-06,0,0.009627093,0.00581874,0.008761873,AppleiCloud
192.168.125.40,17.248.184.107,443,6,0.000100734,6.78E-06,0.008219178,0.046917808,0.017266857,0.03512523,AppleiCloud
17.248.184.107,192.168.125.40,443,6,7.91E-05,1.62E-05,0.008219178,0.055098935,0.059740899,0.072389883,AppleiCloud
192.168.121.75,17.248.184.107,443,6,0.00012232,7.65E-06,0,0.038926941,0.015927229,0.031622207,AppleiCloud
17.248.184.107,192.168.121.75,443,6,0.000100734,6.09E-06,0.008219178,0.062442922,0.015104823,0.045955938,AppleiCloud
192.168.121.75,17.248.137.239,443,6,0.000187077,1.20E-05,0,0.038546423,0.016717769,0.029628511,AppleiCloud
17.248.137.239,192.168.121.75,443,6,0.000143906,1.99E-05,0.008219178,0.109741248,0.04068259,0.080829134,AppleiCloud
192.168.121.24,17.248.184.15,443,6,0.004957548,0.00022728,0,0.055555556,0.011178023,0.033765521,AppleiCloud
17.248.184.15,192.168.121.24,443,6,0.004698518,0.002279934,0.008219178,0.331050228,0.160528466,0.124396248,AppleiCloud
192.168.121.24,17.248.137.106,443,6,0.000172687,1.09E-05,0,0.042884323,0.016382924,0.035425732,AppleiCloud
17.248.137.106,192.168.121.24,443,6,0.000172687,2.32E-05,0.008219178,0.055098935,0.039763778,0.066810807,AppleiCloud
192.168.125.208,17.248.137.176,443,6,0.000129515,8.81E-06,0,0.043226788,0.017765371,0.03922696,AppleiCloud
17.248.137.176,192.168.125.208,443,6,0.000107929,2.66E-05,0.008219178,0.055098935,0.074444018,0.076575965,AppleiCloud
192.168.122.9,17.248.184.15,443,6,0.000179882,5.52E-06,0,0.020129376,0.005799648,0.012667728,AppleiCloud
17.248.184.15,192.168.122.9,443,6,0.000158296,3.93E-05,0.008219178,0.061073059,0.0766208,0.080373965,AppleiCloud
192.168.125.99,17.248.184.49,443,6,0.000158296,7.73E-06,0,0.038432268,0.011687837,0.026255033,AppleiCloud
17.248.184.49,192.168.125.99,443,6,0.000143906,2.11E-05,0.008219178,0.061073059,0.043429781,0.070341177,AppleiCloud
192.168.128.186,17.248.184.25,443,6,0.000158296,1.33E-05,0.008219178,0.047526636,0.023169447,0.045339703,AppleiCloud
17.248.184.25,192.168.128.186,443,6,0.000151101,2.24E-05,0.008219178,0.055098935,0.043987767,0.065556782,AppleiCloud
192.168.125.40,17.248.184.107,443,6,0.000115124,7.21E-06,0.008219178,0.04935312,0.015910287,0.035127624,AppleiCloud
17.248.184.107,192.168.125.40,443,6,0.000107929,1.67E-05,0.008219178,0.101331811,0.045191752,0.08620611,AppleiCloud
192.168.122.104,17.248.184.81,443,6,7.91E-05,2.13E-06,0.008219178,0.008980213,0.004347968,0.007343014,AppleiCloud
17.248.184.81,192.168.122.104,443,6,6.48E-05,1.88E-05,0.008219178,0.055098935,0.084782622,0.07826836,AppleiCloud
192.168.122.92,17.248.137.100,443,6,0.000143906,7.08E-06,0.008219178,0.036605784,0.011755666,0.026952047,AppleiCloud
17.248.137.100,192.168.122.92,443,6,0.00012232,2.88E-05,0.008219178,0.109741248,0.071497879,0.09104859,AppleiCloud
192.168.121.32,17.248.184.42,443,6,0.000187077,1.13E-05,0,0.042047184,0.015545237,0.032667179,AppleiCloud
17.248.184.42,192.168.121.32,443,6,0.000165491,2.37E-05,0.008219178,0.109741248,0.04256045,0.082973808,AppleiCloud
192.168.128.227,17.248.184.56,443,6,0.000194273,1.84E-05,0.008219178,0.047526636,0.026907239,0.046723551,AppleiCloud
17.248.184.56,192.168.128.227,443,6,0.000179882,2.29E-05,0.008219178,0.055098935,0.037356181,0.062401276,AppleiCloud
192.168.125.99,17.248.184.49,443,6,0.000129515,7.15E-06,0,0.038242009,0.013614312,0.028340714,AppleiCloud
17.248.184.49,192.168.125.99,443,6,0.000107929,7.15E-06,0.008219178,0.076560122,0.017008093,0.054757509,AppleiCloud
192.168.125.40,17.248.184.107,443,6,5.04E-05,4.46E-06,0.008219178,0.046917808,0.022502804,0.044831335,AppleiCloud
17.248.184.107,192.168.125.40,443,6,6.48E-05,1.54E-05,0.008219178,0.101331811,0.068721797,0.097423379,AppleiCloud
192.168.121.31,17.248.137.104,443,6,0.000129515,6.68E-06,0,0.020129376,0.012453177,0.019012856,AppleiCloud
