,precision,recall,f1-score,support
AppleiCloud,0.9919743178170144,0.9951690821256038,0.9935691318327974,621.0
AppleiTunes,0.950354609929078,0.9571428571428572,0.9537366548042705,140.0
Dropbox,0.9886425094645754,0.9907859078590786,0.9897130481862481,1845.0
FTP_DATA,1.0,0.9375,0.967741935483871,32.0
Facebook,1.0,0.009,0.017839444995044598,2000.0
GMail,0.9671314741035857,0.971,0.9690618762475051,2000.0
Github,0.9911958914159942,0.9992603550295858,0.9952117863720075,1352.0
GoogleDrive,0.9700722394220846,0.94,0.9547993905535805,2000.0
GoogleHangoutDuo,1.0,1.0,1.0,1960.0
GoogleServices,0.9677248677248678,0.9491437467566165,0.9583442494105318,1927.0
Instagram,0.6713852376137512,0.996,0.8020938192067646,2000.0
MS_OneDrive,0.9850905218317358,1.0,0.9924892703862661,925.0
NetFlix,0.7480719794344473,0.9448051948051948,0.8350071736011477,308.0
Skype,0.8949792722247812,0.9852941176470589,0.9379676562877143,1972.0
Snapchat,1.0,0.9,0.9473684210526316,40.0
SoundCloud,0.4827586206896552,0.7777777777777778,0.5957446808510638,36.0
Spotify,0.9947984395318595,0.9986945169712794,0.996742671009772,766.0
Steam,1.0,0.9384615384615385,0.9682539682539683,130.0
TeamViewer,0.9954954954954955,0.9910313901345291,0.9932584269662922,223.0
Telegram,0.979381443298969,1.0,0.9895833333333333,285.0
Twitter,0.9969309462915601,0.9943877551020408,0.9956577266922095,1960.0
WhatsApp,0.7400156617071261,0.9957850368809273,0.8490566037735848,1898.0
Wikipedia,0.9854545454545455,0.9963235294117647,0.9908592321755026,272.0
YouTube,0.9079396005845105,0.9678089304257529,0.9369188238250816,1926.0
eBay,0.9801980198019802,0.9519230769230769,0.9658536585365853,104.0
accuracy,0.9082778235162039,0.9082778235162039,0.9082778235162039,0.9082778235162039
macro avg,0.9275838277535047,0.9274917925381873,0.9038749193535109,26722.0
weighted avg,0.928876211553979,0.9082778235162039,0.8780025334177423,26722.0
