,precision,recall,f1-score,support
AppleiCloud,0.9967897271268058,1.0,0.9983922829581994,621.0
AppleiTunes,0.9777777777777777,0.9428571428571428,0.9600000000000001,140.0
Dropbox,0.9880629408572978,0.9869918699186991,0.987527114967462,1845.0
FTP_DATA,1.0,1.0,1.0,32.0
Facebook,0.9690048939641109,0.891,0.9283667621776504,2000.0
GMail,0.9691176470588235,0.9885,0.9787128712871288,2000.0
Github,0.9933872152828802,1.0,0.9966826391448581,1352.0
GoogleDrive,0.9754098360655737,0.952,0.9635627530364372,2000.0
GoogleHangoutDuo,1.0,1.0,1.0,1960.0
GoogleServices,0.968833960236432,0.9356512714063311,0.9519535374868004,1927.0
Instagram,0.9683852140077821,0.9955,0.9817554240631166,2000.0
MS_OneDrive,0.9956896551724138,0.9989189189189189,0.9973016729627632,925.0
NetFlix,0.9766666666666667,0.9512987012987013,0.9638157894736843,308.0
Skype,0.970912738214644,0.9817444219066938,0.9762985375693394,1972.0
Snapchat,1.0,0.85,0.9189189189189189,40.0
SoundCloud,0.625,0.4166666666666667,0.5,36.0
Spotify,0.9896640826873385,1.0,0.9948051948051948,766.0
Steam,1.0,0.9461538461538461,0.9723320158102766,130.0
TeamViewer,0.9910313901345291,0.9910313901345291,0.9910313901345291,223.0
Telegram,0.9930313588850174,1.0,0.9965034965034965,285.0
Twitter,0.9958890030832477,0.9887755102040816,0.9923195084485407,1960.0
WhatsApp,0.9252902574457345,0.9657534246575342,0.9450889404485692,1898.0
Wikipedia,0.9927007299270073,1.0,0.9963369963369962,272.0
YouTube,0.9365781710914455,0.9890965732087228,0.9621212121212122,1926.0
eBay,1.0,0.9423076923076923,0.9702970297029703,104.0
accuracy,0.9736546665668737,0.9736546665668737,0.9736546665668737,0.9736546665668737
macro avg,0.9679689306274212,0.9485698971855825,0.9569649635343257,26722.0
weighted avg,0.9737961040877274,0.9736546665668737,0.9734152917544305,26722.0
