,precision,recall,f1-score,support
AppleiCloud,0.9951923076923077,1.0,0.9975903614457832,621.0
AppleiTunes,0.9586206896551724,0.9928571428571429,0.9754385964912282,140.0
Dropbox,0.9956639566395664,0.9956639566395664,0.9956639566395664,1845.0
FTP_DATA,0.9142857142857143,1.0,0.955223880597015,32.0
Facebook,0.9984362783424551,0.6385,0.7788960048795365,2000.0
GMail,0.9948776323278316,0.874,0.9305296779345222,2000.0
Github,0.9985228951255539,1.0,0.999260901699926,1352.0
GoogleDrive,0.9545913218970736,0.946,0.9502762430939226,2000.0
GoogleHangoutDuo,1.0,1.0,1.0,1960.0
GoogleServices,0.9020446980504042,0.9844317592112092,0.941439205955335,1927.0
Instagram,0.8781346238451386,0.998,0.9342382401123334,2000.0
MS_OneDrive,0.9967672413793104,1.0,0.9983810037776578,925.0
NetFlix,0.8742690058479532,0.9707792207792207,0.9199999999999999,308.0
Skype,0.9775784753363229,0.9949290060851927,0.9861774315154561,1972.0
Snapchat,1.0,0.875,0.9333333333333333,40.0
SoundCloud,0.7631578947368421,0.8055555555555556,0.7837837837837838,36.0
Spotify,0.9909443725743855,1.0,0.9954515919428201,766.0
Steam,1.0,0.9384615384615385,0.9682539682539683,130.0
TeamViewer,1.0,0.9910313901345291,0.9954954954954954,223.0
Telegram,0.9930313588850174,1.0,0.9965034965034965,285.0
Twitter,0.9959287531806615,0.9984693877551021,0.9971974522292993,1960.0
WhatsApp,0.8498201438848921,0.9957850368809273,0.9170305676855895,1898.0
Wikipedia,0.9963369963369964,1.0,0.998165137614679,272.0
YouTube,0.9355783308931186,0.9953271028037384,0.9645283018867925,1926.0
eBay,1.0,0.9711538461538461,0.9853658536585366,104.0
accuracy,0.9554674051343462,0.9554674051343462,0.9554674051343462,0.9554674051343462
macro avg,0.9585513076366686,0.9586377977327029,0.955928979461203,26722.0
weighted avg,0.9595961416293726,0.9554674051343462,0.9533305853953843,26722.0
