,precision,recall,f1-score,support
AppleiCloud,0.9841521394611727,1.0,0.9920127795527156,621.0
AppleiTunes,0.9855072463768116,0.9714285714285714,0.9784172661870504,140.0
Dropbox,0.9892357373519914,0.9962059620596206,0.9927086146367812,1845.0
FTP_DATA,1.0,0.9375,0.967741935483871,32.0
Facebook,0.9547631718999467,0.897,0.9249806651198763,2000.0
GMail,0.9712266532054518,0.962,0.9665913087164029,2000.0
Github,0.9970501474926253,1.0,0.9985228951255538,1352.0
GoogleDrive,0.9560878243512974,0.958,0.9570429570429569,2000.0
GoogleHangoutDuo,1.0,1.0,1.0,1960.0
GoogleServices,0.9668071654373024,0.9522573949143747,0.9594771241830065,1927.0
Instagram,0.9658869395711501,0.991,0.9782823297137216,2000.0
MS_OneDrive,0.9967672413793104,1.0,0.9983810037776578,925.0
NetFlix,0.9671052631578947,0.9545454545454546,0.9607843137254902,308.0
Skype,0.9836567926455567,0.9766734279918864,0.9801526717557252,1972.0
Snapchat,0.9722222222222222,0.875,0.9210526315789473,40.0
SoundCloud,0.7368421052631579,0.3888888888888889,0.509090909090909,36.0
Spotify,0.993514915693904,1.0,0.9967469095640858,766.0
Steam,0.976,0.9384615384615385,0.9568627450980391,130.0
TeamViewer,0.9867256637168141,1.0,0.9933184855233852,223.0
Telegram,0.9895833333333334,1.0,0.9947643979057591,285.0
Twitter,0.9979518689196109,0.9943877551020408,0.9961666240736009,1960.0
WhatsApp,0.9242501270971022,0.9578503688092729,0.9407503234152652,1898.0
Wikipedia,0.9963369963369964,1.0,0.998165137614679,272.0
YouTube,0.9512317747611865,0.9823468328141225,0.9665389527458492,1926.0
eBay,0.9795918367346939,0.9230769230769231,0.9504950495049506,104.0
accuracy,0.9731681760347279,0.9731681760347279,0.9731681760347279,0.9731681760347279
macro avg,0.9688998866563813,0.9462649247237077,0.9551619212454512,26722.0
weighted avg,0.973110614768247,0.9731681760347279,0.9729269184446495,26722.0
