,precision,recall,f1-score,support
AppleiCloud,0.9868852459016394,0.48470209339774556,0.6501079913606911,621.0
AppleiTunes,0.0,0.0,0.0,140.0
Dropbox,0.6608792020687108,0.9696476964769648,0.7860281195079086,1845.0
FTP_DATA,0.75,0.09375,0.16666666666666666,32.0
Facebook,0.6454033771106942,0.688,0.6660212971926428,2000.0
GMail,0.5499860763018658,0.9875,0.7064925773564658,2000.0
Github,0.9071877180739707,0.9615384615384616,0.9335727109515262,1352.0
GoogleDrive,0.6427255985267035,0.5235,0.5770184623863323,2000.0
GoogleHangoutDuo,0.9907881269191402,0.9877551020408163,0.9892692897291773,1960.0
GoogleServices,0.586046511627907,0.3269330565646082,0.4197201865423051,1927.0
Instagram,0.8621103117505995,0.719,0.7840785169029445,2000.0
MS_OneDrive,0.9168490153172867,0.9059459459459459,0.9113648722131593,925.0
NetFlix,0.6666666666666666,0.01948051948051948,0.03785488958990536,308.0
Skype,0.7419543592744295,0.6430020283975659,0.6889432219505569,1972.0
Snapchat,0.0,0.0,0.0,40.0
SoundCloud,1.0,0.027777777777777776,0.05405405405405406,36.0
Spotify,0.9704510108864697,0.814621409921671,0.8857345635202271,766.0
Steam,0.8403361344537815,0.7692307692307693,0.8032128514056225,130.0
TeamViewer,0.9318181818181818,0.9192825112107623,0.9255079006772008,223.0
Telegram,0.8130563798219584,0.9614035087719298,0.8810289389067524,285.0
Twitter,0.8357915437561455,0.8673469387755102,0.8512769153730596,1960.0
WhatsApp,0.7858606557377049,0.8082191780821918,0.7968831168831169,1898.0
Wikipedia,0.9686274509803922,0.9080882352941176,0.937381404174573,272.0
YouTube,0.5752167261601224,0.5856697819314641,0.5803961924363262,1926.0
eBay,0.5285714285714286,0.3557692307692308,0.4252873563218391,104.0
accuracy,0.7393533418157323,0.7393533418157323,0.7393533418157323,0.7393533418157323
macro avg,0.7262884688690319,0.613126569824322,0.6183160838441221,26722.0
weighted avg,0.7467667677638035,0.7393533418157323,0.7256218153013434,26722.0
