,precision,recall,f1-score,support
AppleiCloud,0.764505119453925,0.7214170692431562,0.7423363711681856,621.0
AppleiTunes,0.0,0.0,0.0,140.0
Dropbox,0.684016393442623,0.9046070460704607,0.7789964994165695,1845.0
FTP_DATA,0.0,0.0,0.0,32.0
Facebook,0.48493975903614456,0.644,0.5532646048109966,2000.0
GMail,0.6555511965476658,0.8355,0.7346669597713784,2000.0
Github,0.758830694275274,0.9215976331360947,0.8323313293253173,1352.0
GoogleDrive,0.5632126921170054,0.568,0.5655962160816529,2000.0
GoogleHangoutDuo,0.983739837398374,0.9877551020408163,0.9857433808553971,1960.0
GoogleServices,0.47093023255813954,0.37830825116761807,0.419568345323741,1927.0
Instagram,0.6096791162546028,0.5795,0.5942066136887977,2000.0
MS_OneDrive,0.7174638487208009,0.6972972972972973,0.7072368421052632,925.0
NetFlix,0.0,0.0,0.0,308.0
Skype,0.5795383655645664,0.4710953346855984,0.5197202797202797,1972.0
Snapchat,0.0,0.0,0.0,40.0
SoundCloud,0.0,0.0,0.0,36.0
Spotify,0.8639876352395672,0.7297650130548303,0.7912243453644728,766.0
Steam,0.77,0.5923076923076923,0.6695652173913044,130.0
TeamViewer,0.9008620689655172,0.9372197309417041,0.9186813186813187,223.0
Telegram,0.6099071207430341,0.6912280701754386,0.6480263157894738,285.0
Twitter,0.7435508345978755,0.75,0.7467614935229869,1960.0
WhatsApp,0.6961748633879782,0.6712328767123288,0.6834763948497855,1898.0
Wikipedia,0.8844765342960289,0.9007352941176471,0.8925318761384335,272.0
YouTube,0.49639816633922723,0.3935617860851506,0.43903851723139303,1926.0
eBay,0.0,0.0,0.0,104.0
accuracy,0.6603173415163536,0.6603173415163536,0.6603173415163536,0.6603173415163536
macro avg,0.5295105791575341,0.5350051278814333,0.5289189168494699,26722.0
weighted avg,0.6415522498188243,0.6603173415163536,0.6463060479173316,26722.0
