,precision,recall,f1-score,support
AppleiCloud,0.8060836501901141,0.6827697262479872,0.7393199651264167,621.0
AppleiTunes,0.0,0.0,0.0,140.0
Dropbox,0.6869139828781085,0.9132791327913279,0.7840856212191718,1845.0
FTP_DATA,0.0,0.0,0.0,32.0
Facebook,0.5121742844938061,0.5995,0.552407279428703,2000.0
GMail,0.6224156692056583,0.858,0.7214631070002101,2000.0
Github,0.7552941176470588,0.9497041420118343,0.8414154652686763,1352.0
GoogleDrive,0.5526315789473685,0.5775,0.5647921760391199,2000.0
GoogleHangoutDuo,0.9867075664621677,0.9846938775510204,0.9856996935648621,1960.0
GoogleServices,0.5562730627306273,0.3129216398546964,0.4005313849219528,1927.0
Instagram,0.6205816554809843,0.6935,0.6550177095631641,2000.0
MS_OneDrive,0.788627935723115,0.6897297297297297,0.7358708189158016,925.0
NetFlix,0.0,0.0,0.0,308.0
Skype,0.5740740740740741,0.5344827586206896,0.5535714285714285,1972.0
Snapchat,0.0,0.0,0.0,40.0
SoundCloud,0.0,0.0,0.0,36.0
Spotify,0.8568872987477638,0.6253263707571801,0.7230188679245283,766.0
Steam,0.7363636363636363,0.6230769230769231,0.675,130.0
TeamViewer,0.899581589958159,0.9641255605381166,0.9307359307359306,223.0
Telegram,0.7352941176470589,0.7017543859649122,0.718132854578097,285.0
Twitter,0.7537046499744506,0.7525510204081632,0.7531273934133265,1960.0
WhatsApp,0.7180109157064888,0.6238145416227608,0.6676064279672963,1898.0
Wikipedia,0.8916967509025271,0.9080882352941176,0.8998178506375228,272.0
YouTube,0.4599358974358974,0.4470404984423676,0.45339652448657186,1926.0
eBay,0.0,0.0,0.0,104.0
accuracy,0.6667539854801288,0.6667539854801288,0.6667539854801288,0.6667539854801288
macro avg,0.5405300973827626,0.5376743417164731,0.5342004199745112,26722.0
weighted avg,0.6512547920658767,0.6667539854801288,0.6519673657366918,26722.0
