,precision,recall,f1-score,support
AppleiCloud,0.9951923076923077,1.0,0.9975903614457832,621.0
AppleiTunes,0.9782608695652174,0.9642857142857143,0.9712230215827338,140.0
Dropbox,0.9913466738777718,0.9934959349593496,0.9924201407688142,1845.0
FTP_DATA,1.0,1.0,1.0,32.0
Facebook,0.9308047155304972,0.908,0.9192609465957985,2000.0
GMail,0.9730673316708229,0.9755,0.9742821473158552,2000.0
Github,0.9948491537895512,1.0,0.9974179269642198,1352.0
GoogleDrive,0.975,0.9555,0.9651515151515152,2000.0
GoogleHangoutDuo,1.0,1.0,1.0,1960.0
GoogleServices,0.9654631083202512,0.9574468085106383,0.9614382490880666,1927.0
Instagram,0.9684005833738454,0.996,0.9820064086763618,2000.0
MS_OneDrive,0.9893048128342246,1.0,0.9946236559139785,925.0
NetFlix,0.9512987012987013,0.9512987012987013,0.9512987012987013,308.0
Skype,0.9656716417910448,0.9842799188640974,0.974886991461577,1972.0
Snapchat,0.96875,0.775,0.8611111111111113,40.0
SoundCloud,0.7419354838709677,0.6388888888888888,0.6865671641791045,36.0
Spotify,0.9947848761408083,0.9960835509138382,0.9954337899543378,766.0
Steam,1.0,0.9384615384615385,0.9682539682539683,130.0
TeamViewer,0.9955156950672646,0.9955156950672646,0.9955156950672646,223.0
Telegram,0.976027397260274,1.0,0.9878682842287695,285.0
Twitter,0.9979445015416238,0.9908163265306122,0.9943676395289298,1960.0
WhatsApp,0.9416800428036383,0.9272918861959958,0.934430581364481,1898.0
Wikipedia,0.9963369963369964,1.0,0.998165137614679,272.0
YouTube,0.949873417721519,0.9740394600207685,0.9618046654703923,1926.0
eBay,0.989247311827957,0.8846153846153846,0.9340101522842639,104.0
accuracy,0.9727939525484619,0.9727939525484619,0.9727939525484619,0.9727939525484619
macro avg,0.9692302248926112,0.9522607923445117,0.9599651302128284,26722.0
weighted avg,0.9727078791034267,0.9727939525484619,0.9726539481706937,26722.0
